d=5, delta=0.1, alphastd=0.960664, alphadr=0.993975, 
d=5, delta=0.1, alphastd=0.960507, alphadr=0.994049,
d=5, delta=0.1, alphastd=0.96041, alphadr=0.99366,
d=10, delta=0.1, alphastd=0.960406, alphadr=0.996338,
d=10, delta=0.1, alphastd=0.960392, alphadr=0.996314,
d=10, delta=0.1, alphastd=0.960406, alphadr=0.996161,
d=20, delta=0.1, alphastd=0.960298, alphadr=0.997783,
d=20, delta=0.1, alphastd=0.960206, alphadr=0.998115,
d=20, delta=0.1, alphastd=0.960387, alphadr=0.997879,
d=50, delta=0.1, alphastd=0.960052, alphadr=0.999299,
d=50, delta=0.1, alphastd=0.95997, alphadr=0.9995,
d=50, delta=0.1, alphastd=0.960265, alphadr=0.999018,
d=100, delta=0.1, alphastd=0.960114, alphadr=0.999524, 
d=100, delta=0.1, alphastd=0.960221, alphadr=0.999623,
d=100, delta=0.1, alphastd=0.959876, alphadr=0.999676,
d=5, delta=0.2, alphastd=0.920908, alphadr=0.985713,
d=5, delta=0.2, alphastd=0.920946, alphadr=0.986617,
d=5, delta=0.2, alphastd=0.920893, alphadr=0.986828,
d=10, delta=0.2, alphastd=0.920866, alphadr=0.992241,
d=10, delta=0.2, alphastd=0.920771, alphadr=0.991846,
d=10, delta=0.2, alphastd=0.920683, alphadr=0.991603, 
d=20, delta=0.2, alphastd=0.920571, alphadr=0.995732,
d=20, delta=0.2, alphastd=0.920572, alphadr=0.995417,
d=20, delta=0.2, alphastd=0.920406, alphadr=0.996105,
d=50, delta=0.2, alphastd=0.920461, alphadr=0.998315, 
d=50, delta=0.2, alphastd=0.920251, alphadr=0.998056,
d=50, delta=0.2, alphastd=0.920633, alphadr=0.998072, 
d=100, delta=0.2, alphastd=0.920349, alphadr=0.998757, 
d=100, delta=0.2, alphastd=0.92079, alphadr=0.99894, 
d=100, delta=0.2, alphastd=0.920256, alphadr=0.999022,
d=5, delta=0.5, alphastd=0.804324, alphadr=0.957164,
d=5, delta=0.5, alphastd=0.803706, alphadr=0.956978,
d=5, delta=0.5, alphastd=0.804268, alphadr=0.957462,
d=10, delta=0.5, alphastd=0.804327, alphadr=0.974478, 
d=10, delta=0.5, alphastd=0.803992, alphadr=0.974256,
d=10, delta=0.5, alphastd=0.80399, alphadr=0.972915, 
d=20, delta=0.5, alphastd=0.803442, alphadr=0.985577,
d=20, delta=0.5, alphastd=0.803435, alphadr=0.985455, 
d=20, delta=0.5, alphastd=0.803678, alphadr=0.985478,
d=50, delta=0.5, alphastd=0.80267, alphadr=0.993833,
d=50, delta=0.5, alphastd=0.802828, alphadr=0.993949, 
d=50, delta=0.5, alphastd=0.802753, alphadr=0.994134,
d=100, delta=0.5, alphastd=0.802847, alphadr=0.996906, 
d=100, delta=0.5, alphastd=0.802524, alphadr=0.996931,
d=100, delta=0.5, alphastd=0.802689, alphadr=0.99705, 
d=5, delta=1, alphastd=0.619882, alphadr=0.890284,
d=5, delta=1, alphastd=0.621051, alphadr=0.890336,
d=5, delta=1, alphastd=0.621118, alphadr=0.891119,
d=10, delta=1, alphastd=0.619753, alphadr=0.926716,
d=10, delta=1, alphastd=0.619594, alphadr=0.926644,
d=10, delta=1, alphastd=0.619615, alphadr=0.926419,
d=20, delta=1, alphastd=0.61802, alphadr=0.956872, 
d=20, delta=1, alphastd=0.618569, alphadr=0.957389,
d=20, delta=1, alphastd=0.618694, alphadr=0.957425,
d=50, delta=1, alphastd=0.617471, alphadr=0.981139,
d=50, delta=1, alphastd=0.61849, alphadr=0.980824,
d=50, delta=1, alphastd=0.61754, alphadr=0.980756,
d=100, delta=1, alphastd=0.617738, alphadr=0.990046,
d=100, delta=1, alphastd=0.617105, alphadr=0.99012, 
d=100, delta=1, alphastd=0.616874, alphadr=0.990121, 
d=5, delta=2, alphastd=0.325006, alphadr=0.706034,
d=5, delta=2, alphastd=0.325293, alphadr=0.706819,
d=5, delta=2, alphastd=0.325474, alphadr=0.707095,
d=10, delta=2, alphastd=0.322911, alphadr=0.773006, 
d=10, delta=2, alphastd=0.322756, alphadr=0.772796,
d=10, delta=2, alphastd=0.323091, alphadr=0.773507, 
d=20, delta=2, alphastd=0.320245, alphadr=0.851206,
d=20, delta=2, alphastd=0.321002, alphadr=0.850683, 
d=20, delta=2, alphastd=0.321245, alphadr=0.850644,
d=50, delta=2, alphastd=0.318032, alphadr=0.927348,
d=50, delta=2, alphastd=0.319354, alphadr=0.927397, 
d=50, delta=2, alphastd=0.318922, alphadr=0.927644, 
d=100, delta=2, alphastd=0.31821, alphadr=0.960823, 
d=100, delta=2, alphastd=0.31875, alphadr=0.961116, 
d=100, delta=2, alphastd=0.319117, alphadr=0.961187, 
d=200, delta=2, alphastd=0.317579, alphadr=0.979721,
d=200, delta=2, alphastd=0.318309, alphadr=0.979656, 
d=200, delta=2, alphastd=0.317298, alphadr=0.97948,
d=5, delta=3, alphastd=0.144909, alphadr=0.505577,
d=5, delta=3, alphastd=0.144506, alphadr=0.505478,
d=5, delta=3, alphastd=0.144704, alphadr=0.506249,
d=10, delta=3, alphastd=0.141559, alphadr=0.56987, 
d=10, delta=3, alphastd=0.140807, alphadr=0.570274,
d=10, delta=3, alphastd=0.140521, alphadr=0.569784, 
d=20, delta=3, alphastd=0.137859, alphadr=0.680802, 
d=20, delta=3, alphastd=0.13689, alphadr=0.680124,
d=20, delta=3, alphastd=0.138868, alphadr=0.681821, 
d=50, delta=3, alphastd=0.135213, alphadr=0.825588,
d=50, delta=3, alphastd=0.135275, alphadr=0.82486, 
d=50, delta=3, alphastd=0.135657, alphadr=0.825473,
d=100, delta=3, alphastd=0.134278, alphadr=0.900426,
d=100, delta=3, alphastd=0.134223, alphadr=0.900443,
d=100, delta=3, alphastd=0.135166, alphadr=0.900828,
d=200, delta=3, alphastd=0.134621, alphadr=0.946597,
d=200, delta=3, alphastd=0.134677, alphadr=0.946732, 
d=200, delta=3, alphastd=0.13419, alphadr=0.946691,
d=200, delta=1, alphastd=0.617298, alphadr=0.995155, 
d=200, delta=1, alphastd=0.616764, alphadr=0.994794,
d=200, delta=1, alphastd=0.616797, alphadr=0.995073,
d=200, delta=0.5, alphastd=0.802778, alphadr=0.998286,
d=200, delta=0.5, alphastd=0.802689, alphadr=0.998368,
d=200, delta=0.5, alphastd=0.802859, alphadr=0.998367, 
d=200, delta=0.2, alphastd=0.920511, alphadr=0.999623,
d=200, delta=0.2, alphastd=0.92038, alphadr=0.999636,
d=200, delta=0.2, alphastd=0.919996, alphadr=0.999463,
